filename,ca_thtrA_amplitude,ca_thtrA_amplitude_err,ca_thtrA_mean,ca_thtrA_mean_err,ca_thtrA_stddev,ca_thtrA_stddev_err,ca_thtrA_chisquare,ca_thtrA_ndf,ca_thtrA_entries,cg_thtrG_amplitude,cg_thtrG_amplitude_err,cg_thtrG_mean,cg_thtrG_mean_err,cg_thtrG_stddev,cg_thtrG_stddev_err,cg_thtrG_chisquare,cg_thtrG_ndf,cg_thtrG_entries,PID,momentum,pseudorapidity,eta
out_211_19.0_19.root,271.6467067187989,11.25420431448036,224.08596314107325,0.022827741315818727,0.6974576116286545,0.017967029367515985,11.121602338386118,11.0,961.0,61.72493181515466,3.1706873078927877,37.07193192371837,0.03508373811861284,0.9168746943595538,0.033001869562525155,44.41480100677899,32.0,961.0,211,19.0,19,3.4
out_211_24.0_12.root,349.07744419304123,14.232427518277033,224.0862480264456,0.017695359314739117,0.5423237445359493,0.013411376143881215,2.0647249349836607,5.0,952.0,249.1456012727312,10.094056999782453,38.543711055599324,0.00982842762880255,0.2969421247583185,0.007062876989287176,11.947957475702445,12.0,952.0,211,24.0,12,2.7
out_321_36.0_1.root,341.679456923508,14.442162391801281,223.71685171586705,0.01718774563641924,0.500336561255333,0.012503638635110087,3.198582134096049,4.0,860.0,67.42701107501715,2.963672201629234,36.64664023110689,0.03507372107260827,0.9714733664687828,0.026198887749760258,34.77055828895893,35.0,860.0,321,36.0,1,1.6
out_211_24.0_13.root,346.69084193308043,14.472688626288065,224.08837778108486,0.01780956465489459,0.5489980943488431,0.01450053854795369,4.960631180977494,6.0,959.0,232.73486495484732,9.78106676094377,38.53813579988597,0.01053762613500309,0.3213254823912412,0.008502225749272785,16.76775588752661,14.0,959.0,211,24.0,13,2.8
out_2212_36.0_3.root,370.69531494566365,15.756232256173691,222.66044119084467,0.015996254106462826,0.4696942139609789,0.012096654269255325,5.23268115942526,6.0,878.0,93.08115887014112,19.990137869010987,29.64733174639079,0.39145931211060625,1.0321556544063275,0.14677631799177915,12.515827337153963,15.0,878.0,2212,36.0,3,1.8
out_321_23.0_3.root,363.63489236162684,14.86677292875752,223.13521864133637,0.01644467878571003,0.48950086679444876,0.011532694291330442,0.886126528816876,4.0,893.0,98.57911867396842,4.203088125877387,32.5867326373679,0.02418566307429915,0.6968148640344497,0.017921087370325994,25.429784244695664,23.0,893.0,321,23.0,3,1.8
out_321_21.0_14.root,345.8797313999593,14.037005249448944,223.00402762766333,0.017706725712200878,0.542640802238498,0.013114848691009984,8.092159502225629,9.0,949.0,160.02225409281937,7.303073698075902,31.135468762290696,0.01371231620959883,0.3716321309031975,0.010216147339573961,34.347707299224055,24.0,949.0,321,21.0,14,2.9
out_2212_30.0_11.root,330.95399992928765,13.435024272188949,222.04125315464375,0.018562672388961598,0.5656129560974702,0.013700783357720181,3.7711079175693407,5.0,942.0,1.0041844255191632,0.6321402988061695,36.87747756163276,64.36280656955047,12.413127746783033,6.681001615756149,5.031603514066082e-05,0.0,942.0,2212,30.0,11,2.6
out_211_20.0_17.root,309.6899908129385,12.625035737721214,224.14994180147002,0.01967109402074653,0.5971922670245016,0.014449215193844067,12.942643192440581,7.0,940.0,178.27788311804736,7.874608529781074,38.31452548027544,0.012918972267523428,0.3682962162734982,0.010013935663362256,26.258379377488847,24.0,940.0,211,20.0,17,3.2
out_211_20.0_7.root,385.18255780652424,16.560936670356888,224.03425731741683,0.01600773999351375,0.49278789377122856,0.013920401077851197,13.429571432615369,7.0,965.0,192.04709181971535,7.87981108226973,38.37401561777753,0.012825699232171688,0.3921579576537397,0.009864329342804096,15.715038621993799,21.0,965.0,211,20.0,7,2.2
